"year","mhw","mlw","mtl"
1939,3.795,0.948,2.372
1940,3.783,0.924,2.353
1941,3.819,0.924,2.372
1942,3.795,0.887,2.341
1943,3.819,0.899,2.359
1944,3.783,0.887,2.335
1945,3.807,0.936,2.372
1946,3.801,0.942,2.372
1947,3.801,0.982,2.392
1948,3.765,1.024,2.394
1949,3.737,1,2.369
1950,3.74,0.991,2.365
1951,3.832,1.015,2.424
1952,3.771,0.963,2.367
1953,3.783,0.942,2.362
1954,3.795,0.945,2.37
1955,3.862,0.985,2.424
1956,3.746,0.89,2.318
1957,3.795,0.921,2.358
1958,3.868,0.948,2.408
1959,3.859,0.942,2.401
1960,3.899,0.994,2.446
1961,3.89,1,2.445
1962,3.789,0.912,2.35
1963,3.832,0.982,2.407
1964,3.783,0.973,2.378
1965,3.777,0.991,2.384
1966,3.826,1.016,2.421
1967,3.765,0.963,2.364
1968,3.791,1.01,2.401
1969,3.801,1.015,2.408
1970,NA,NA,NA
1971,3.776,0.986,2.381
1972,3.814,0.98,2.397
1973,3.761,0.942,2.352
1974,3.813,0.976,2.394
1975,3.777,0.893,2.335
1976,3.777,0.872,2.324
1977,3.838,0.913,2.376
1978,3.803,0.87,2.336
1979,3.812,0.878,2.345
1980,3.787,0.86,2.324
1981,3.731,0.842,2.287
1982,3.789,0.945,2.367
1983,3.75,0.948,2.349
1984,3.73,0.935,2.332
1985,3.769,1.03,2.4
1986,3.78,1.03,2.405
1987,3.799,1.07,2.435
1988,3.877,1.071,2.474
1989,3.834,1.049,2.441
1990,3.849,1.038,2.444
1991,3.768,0.976,2.372
1992,3.713,0.902,2.308
1993,3.816,0.958,2.387
1994,3.834,0.933,2.384
1995,3.784,0.885,2.334
1996,3.828,0.914,2.371
1997,3.787,0.924,2.356
1998,NA,NA,NA
1999,3.792,0.915,2.353
2000,3.84,0.987,2.413
2001,3.814,0.99,2.402
2002,3.894,NA,NA
2003,3.903,1.056,2.479
2004,3.876,1.055,2.465
2005,3.876,1.033,2.455
2006,3.934,NA,NA
2007,3.915,1.06,2.488
2008,3.946,1.099,2.522
2009,3.978,1.114,2.546
2010,3.977,1.072,2.525
2011,4.001,1.065,2.533
2012,3.998,1.059,2.528
2013,4.027,1.068,2.547
2014,4.068,1.051,2.559
2015,4.042,1.045,2.544
2016,4.054,1.074,2.564
2017,4.101,1.148,2.624
